question,answer_date,ministry,question_type,question_no,question_by,question_title,question_description,answer
150000,16.12.2009,COMMERCE AND INDUSTRY,STARRED,396,SHRI ISHWAR SINGH,SPURT IN PRICES OF GOLD .,"(a) whether Government is aware that there is spurt in prices of gold in the country in the last few months; (b) if so, the reasons therefor; (c) whether the import policy of gold needs further changes in view of spurt in prices of gold; and (d) if so, the steps Government proposes to take to bring down the prices of gold in the country?","MINISTER OF COMMERCE AND INDUSTRY (SHRI ANAND SHARMA) a) to d): A Statement is laid on the Table of the House. STATEMENT REFERRED TO IN REPLY TO PARTS (a) TO (d) OF RAJYA SABHA STARRED QUESTION NO. 396 FOR ANSWER ON 16TH DECEMBER, 2009 REGARDING ‚<U+0080><U+009C>SPURT IN PRICES OF GOLD ‚<U+0080>ù (a) Yes, Sir. (b) Increase in prices of gold in the international markets, seasonal demand by major consumers and investment buying are the major factors known to affect the prices of gold. (c) & (d): The gold prices are broadly driven by the international gold prices. Government has minimal control over them."
150001,16.12.2009,COMMERCE AND INDUSTRY,UNSTARRED,2927,Dr. T. Subbarami Reddy,OPENING OF TRADE CENTRES IN LATIN AMERICAN COUNTRIES .,"(a) whether in order to capitalize on the lull in trade between the US and Latin American countries, Government proposed to open up four to five trade centres in a few Latin American countries on a permanent basis, to create awareness among investors and business people alike on Indian products; (b) whether India and Latin American countries have potential to treble their bilateral trade from 2007-08 level of $ 12 billion to $36 billion by 2012-2013; and (c) whether Government is also planning to set up help desks across India like Bangalore and Hyderabad to provide valuable information on Latin American countries?","MINISTER OF COMMERCE AND INDUSTRY (SHRI ANAND SHARMA) (a) to (c) At present, thirteen Indian Missions are functioning in the Latin America region. Ten posts of Marketing Assistants have been provided in nine Indian missions of the said region to exclusively look after the trade related matters and to respond queries of exporters and importers interested to undertake business with Latin America and vice versa. FOCUS : LAC Programme of Government is in force envisaging incentives / promotional measures for supporting and encouraging Indian exporters and companies to boost our trade to Latin America . Details of FOCUS: LAC programme are available on website of the Department. As a result, trade between India and Latin America has been showing upward trend. Bilateral trade between India and Latin America increased from US $ 4021.51 million in 2004-05 to US $ 15,752.47 million in 2008-09."
150002,16.12.2009,COMMERCE AND INDUSTRY,UNSTARRED,2929,SHRI SHREEGOPAL VYAS,EARLY EXIT OF CHINESE BUSINESSMEN FROM TRADE FAIR .,"(a) whether the Chinese businessmen packed of early from Trade Fair and they do like this only; (b) whether it is a fact that they carry the Indian goods, imitate them and sell them here itself; (c) whether this country has been given the status of `Focus country`; and (d) whether Government in view of above is planning to prevent negative fallout of it; if so, the details thereof?","MINISTER OF COMMERCE AND INDUSTRY ( SHRI ANAND SHARMA) (a) Ninety companies from China participated in the India International Trade Fair, 2009 held from 14 ‚<U+0080><U+0093> 27 November 2009 at Pragati Maidan, New Delhi. While eighty five of these participants left the fair on 19.11.2009, the remaining five participants remained till the end of the Fair. (b) No such incident has come to the notice of the Government/ITPO. (c) For India International Trade Fair, 2009, China was given the ‚<U+0080><U+0098>Focus Country‚<U+0080><U+0099> status. (d) The Chinese participating teams have been requested by ITPO that they should stay for the full duration of the fair in their next participation."
150003,16.12.2009,COMMERCE AND INDUSTRY,UNSTARRED,2931,Smt. Kusum Rai,DONATION BY STC AND MMTC TO STUDENT WINGS OF POLITICAL PARTIES .,"to answer to Starred Question 97 given in the Rajya Sabha on 25 November, 2009 and state: (a) whether student wings of any other political parties except NSUI has been donated by PSUs like STC and MMTC; (b) if so, the details thereof; and (c) if not, why only NSUI, the student wing of ruling party Indian National Congress was given donations?","MINISTER OF COMMERCE AND INDUSTRY ( SHRI ANAND SHARMA ) (a)to(c) MMTC has contributed to certain student related bodies such as Faculty of Management Studies Alumni Association, Amity International Business School, Department of Management Studies ‚<U+0080><U+0093> IIT Delhi, St. Joseph School, ICWAI National Convention, Akshay Chhibber Memorial Tournament and NSUI. Similarly, STC has contributed to Institute of Economic Studies, Sri Venkateswara College, IIFT Symposium, Delhi School of Economics, Institute of Marketing and Management, Department of Management Studies ‚<U+0080><U+0093> IIT Delhi, Department of Commerce ‚<U+0080><U+0093> Delhi University and Delhi University Students Union (DUSU) and NSUI."
150004,16.12.2009,COMMERCE AND INDUSTRY,UNSTARRED,2932,SHRI GIREESH KUMAR SANGHI,ENVISAGED EXPORT EARNING TARGETS .,"(a) the envisaged export earning targets for the fiscal year, 2008-09; (b) whether corresponding targets were achieved during the first and second quarters of 2008-09; and (c) if not, will further efforts be made to motivate exporters for identifying new items of exports and simultaneously expanding their areas of operations, keeping in view the revival from slowdown recessionary trends?","MINISTER OF COMMERCE AND INDUSTRY ( SHRI ANAND SHARMA) a) to c): During the announcement of Annual Supplement of the Foreign Trade Policy, 2008-09 on 11.04.2008. Government envisaged merchandise export target of US $ 200 Billion for the year 2008-09 which was revised to US $ 175 Billion in the wake of Global economic slowdown. The achievement was about US$ 185 Billion. The Government and RBI closely monitor the economic developments in the country and internationally on a continuous basis, and need based measures are taken, from time to time, keeping in view the financial and overall economic implications. To arrest the decline in exports, the Government/RBI announced stimulus pacakages, including the announcements made in the Budget 2009-10, and in the Foreign Trade Policy(FTP) 2009-14 to provide support."
150005,16.12.2009,COMMERCE AND INDUSTRY,UNSTARRED,2935,SHRI M.V. MYSURA REDDEY,REQUESTS FOR DENOTIFYING APPROVED SEZS .,"(a) the details of SEZs notified and given in principle approval in the country till October, 2009, State-wise; (b) whether it is a fact that many companies are not evincing interest to pursue their projects and submitted applications for denotifying the approved SEZs and also converting IT SEZs into other SEZs; (c) if so, the State-wise details of the applications received so far for denotifying and conversion; (d) the details of land acquired so after notification, for SEZs in the country, with a particular reference to Andhra Pradesh; and (e) the details of SEZs which have acquired land but failed to develop or take up works in the SEZ, SEZ-wise and State-wise?","MINISTER OF COMMERCE AND INDUSTRY ( SHRI ANAND SHARMA ) (a) : In addition to seven Central Government SEZs and 12 State/Private Sector SEZs set up prior to the enactment of SEZ Act, 2005, formal approval has been accorded to 570 proposals out of which 346 SEZs have been notified. In principle approval has been accorded to 147 proposals. A statement containing State-wise break-up of SEZs is placed at Annexure. (b) and (c): Requests for de-notification by the developers have been received from 12 SEZs located in the States/UT of Delhi, Orissa, Gujarat, West Bengal, Haryana Maharashtra, Tamil Nadu and Andhra Pradesh out of which nine have been approved by the Board of Approval. The final denotification is allowed only on refund of duties/ benefits, if any, availed by the Developer. No Case of conversion from IT SEZ to other sector has been approved. (d): Land is a State subject. Land for SEZs is procured as per the policy and procedures of the respective State Governments. As per the current policy, the Board of Approval does not approve any SEZs, where the State Governments have carried out or propose to carry out compulsory acquisition of land for such SEZs after 5th April, 2007. The total land involved for 346 notified SEZs is 41,090.31 hectares out of which 10253.98 hectares land is for the SEZs notified in Andhra Pradesh. (e): In terms of SEZ Rules, validity of approval is for a period of three years within which time effective steps are to be taken by the developer to implement the approved proposal. On a request received from the Developer the Board of Approval can extend the validity period upto two years."
150006,16.12.2009,COMMERCE AND INDUSTRY,UNSTARRED,2938,SHRI TARIQ ANWAR,TRADE BETWEEN INDIA AND RUSSIA .,"(a) whether India and Russia have agreed and signed trade targeted to reach at $20 billion by 2015; (b) whether both sides call for diversification of trade into high technology areas; (c) whether India is one of very few countries with whom Russian trade is growing rather than declining; and (d) if so, the details of decisions taken, strategy adopted to improve trade between two countries?","MINISTER OF COMMERCE AND INDUSTRY ( SHRI ANAND SHARMA) a) to d): The bilateral trade between India and Russia has been growing. During the 15th session of the India-Russia Inter-Governmental Commission on Trade, Economic, Scientific, Technological and Cultural Cooperation held in Moscow on 21st October 2009, both the countries took note of the positive trends in bilateral trade and inter-alia, it was decided to achieve a bilateral trade target of US$ 20 billion by 2015. Both sides felt that this trade target could be achieved through diversification of the trade basket; focus on priority sectors such as energy, IT and Pharmaceuticals etc; and through intensification of business-to-business contacts."
150007,16.12.2009,COMMERCE AND INDUSTRY,UNSTARRED,2939,SHRI RANJITSINH VIJAYSINH MOHITE PATIL,SEZS IN MAHARASHTRA .,"(a) whether it is a fact that Special Economic Zone projects, launched in Maharashtra, which were to act as major engines of growth in exports, have not made any progress; (b) if so, the details of these projects, the reasons for delay in implementation and their present status; (c) the evaluation of the performance of each of the Export Processing Zones converted into Special Economic Zones; and (d) the fresh initiatives taken to accelerate the progress of SEZs in Maharashtra?","MINISTER OF COMMERCE AND INDUSTRY ( SHRI ANAND SHARMA ) (a): In addition to the SEEPZ SEZ Mumbai, 109 proposals from Maharashtra have been accorded formal approval out of which 58 have been notified. 15 SEZs are already exporting. (b) and (c): In terms of SEZ Act, 2005 read with the rules framed thereunder, validity of approval is for a period of three years within which time effective steps are to be taken by the developer to implement the approved proposal. On a request received from the Developer the Board of Approval can extend the validity period upto two years. Further, SEZ units are required to submit Annual Performance Report and Developers are required to submit Quarterly Report on their performance. These are scrutinized/ monitored by the Development Commissioners of the concerned SEZs. (d): Setting up of Single Window Clearance Mechanism, simplification of rules and procedures, according infrastructure status to SEZs, facility of External Commercial Borrowing (ECB) to Developers under the approval route etc. are some of the steps taken to accelerate the progress of SEZs."
150008,16.12.2009,COMMERCE AND INDUSTRY,UNSTARRED,2942,Smt. Kusum Rai,DONATION BY STC MMTC TO NSUI .,"to answer to Starred Question 97 given in the Rajya Sabha on 25 November, 2009 and state: (a) the details of the `Head` and authority under which STC and MMTC have disbursed and donated NSUI, the student wing of Indian National Congress; (b) whether PSUs like STC and MMTC are authorized to donate public money to organizations like NSUI; (c) if so, the details thereof; (d) if not, whether it is not misuse of public money; (e) whether concurrence of Minister of Commerce was taken before disbursing and donating the public money to student wing of Congress; and (f) if so, the details thereof and if not, the reasons therefor?","MINISTER OF COMMERCE AND INDUSTRY ( SHRI ANAND SHARMA ) (a)to(f) MMTC has contributed to certain student related bodies such as Faculty of Management Studies Alumni Association, Amity International Business School, Department of Management Studies ‚<U+0080><U+0093> IIT Delhi, St. Joseph School, ICWAI National Convention, Akshay Chhibber Memorial Tournament and NSUI. Similarly, STC has contributed to Institute of Economic Studies, Sri Venkateswara College, IIFT Symposium, Delhi School of Economics, Institute of Marketing and Management, Department of Management Studies ‚<U+0080><U+0093> IIT Delhi, Department of Commerce ‚<U+0080><U+0093> Delhi University and Delhi University Students Union (DUSU) and NSUI. There was no requirement to obtain the approval of Minister of Commerce as the contributions were authorised by the competent authority in the respective organisations."
150009,16.12.2009,COMMERCE AND INDUSTRY,UNSTARRED,2943,SHRI R.C. SINGH,ANTI DUMPING CASES REGISTERED BY DGAD .,"(a) the number of anti-dumping cases registered by the Director-General of Anti-Dumping during the last five years, year-wise and country-wise; (b) the number of cases in which antidumping investigations have been completed and recommendations submitted to Government during the last five years, year-wise and country-wise; and (c) the measures Government has taken on the recommendations of the DGAD in the above cases?",MINISTER OF COMMERCE AND INDUSTRY ( SHRI ANAND SHARMA ) (a) to (c) : The number of anti-dumping cases initiated by the Directorate General of Anti-Dumping & Allied Duties in the last five years ( i.e. from 1.4.2004 till 10.12.2009) ; findings issued by DGAD in those cases and the duties imposed by the Department of Revenue are given in the following table:-
