sentiment,question,aspect,from,to
1,whether the intermediate examination passed all sc st students can get admission in colleges and universities to start graduation level education,students,54,62
0,whether long sleeved coats worn by doctors spread infection and lead to avoidable harm and cost to patients as per study published in the journal the bmj if so the details thereof,doctors,35,42
1,whether detailed revised proposals for setting up of power projects in dakshina kannada and udipi districts at a revised total cost of rs 96 82 crore to be implemented by the rural electrification corporation is under consideration of government,power,53,58
1,whether it is a fact that a large number of old age persons have been getting admitted into old age homes in the last three years if so the details thereof and the reasons therefor,last,113,117
0,whether it is a fact that cag report has indicted the madhya pradesh government for allocation of coal blocks of bhatgaon ii and bhatgaon ii extension at throw away prices to a single company resulting in loses of rs 1 052 crore to the public exchequer b if so the details thereof,coal,98,102
1,whether government has allowed 100 per cent foreign direct investment in the country`s power sector,power,87,92
2,whether government carrier air india is doing a profitable business in the domestic sector during the last two years,last,102,106
0,whether it is a fact that robberies and rapes are taking place on the highways and expressways particularly in those passing through the state of uttar pradesh,highways,70,78
2,whether the ministry has explored the possibility of generating electricity from wind energy at different places of uttarakhand,generating,53,63
1,whether government proposes to set up a regulatory authority to oversee the road transport and highway sector,road,76,80
0,the number of complaints telecom regulatory authority of india trai received in 2008 09 regarding the private mobile telephone companies,telecom,25,32
1,whether railways are introducing memu services between thiruvanthapuram kollam kayamkulam sector in kerala,railways,8,16
1,whether government is aware of the fact that there is a long standing demand of extension of area of rangia division up to srirampur in west and dhubri in south in assam for operational convenience b whether her ministry has any such proposal for consideration during the current financial year,rangia,101,107
2,the details of the steps taken by government to improve the quality of programmes and to create a self sustained economic model for all india radio air,air,148,151
1,the details of financial assistance given to the backward castes in maharashtra for higher education through national backward classes finance and development corporation during the last two years,last,182,186
1,whether it is a fact that haryana government is using power purchased from other states if so the quantum of power being purchased from the other sources every year,power,54,59
1,the number of state highways in gujarat declared as national highways during the last three years,last,81,85
1,whether the private nursing homes and clinics are under the purview of labour laws,nursing,20,27
1,the present status and actual outcome of the pradhan mantri gram sadak yojana pmgsy and the national rural road development agency nrrda in the years 2009 10 and 2010 11,yojana,71,77
2,whether it is a fact that reserve bank of india rbi has decided to issue currency notes with enhanced security features,bank,34,38
1,the number of private companies whom coal blocks were allocated during 2006 09 and who have changed diluted in one form or the other the ownership stakes after allocation,coal,37,41
1,whether government is aware that the rise in the prices of essential commodities and vegetables has impacted provision of food to sc and obc hostel students,vegetables,85,95
2,whether certain world bank projects have been launched in different states in the country calling upon the farmers to adopt agricultural practices involving lesser amount of water for agriculture to control exploitation of ground water in such areas,water,174,179
1,whether it is a fact that many mobile service providers had applied for the liberalisation of spectrum in many circles if so the details therof,mobile,31,37
0,whether poor road connectivity is one of the reasons for the slow economic development of the country,road,13,17
2,whether government is aware that wardha nanded yavatmal railway line was announced in railway budget 2008 if so the details of progress in this regard,railway,56,63
2,whether reliance india ltd has committed an economic offence to the tune of billions of rupees by making an unannounced change in the plan for smart prepaid mobiles particularly in madhya pradesh and chhattisgarh,mobiles,157,164
1,the total number of deficiencies found against various scheduled and nonscheduled operators during the last three years year wise,last,103,107
1,the details of projects undertaken and completed during the last three years for conducting research in genetic engineering,last,60,64
2,whether government has notified the controller general indian bureau of mines as an administrating authority for grant of mineral concessions and regulation of exploration and mining activities,mines,72,77
0,how many mobile networks have stopped functioning due to naxalite terrorism state wise during 2010 2011 and 2012,naxalite,57,65
2,whether government had decided to conduct testing and certification of software and hardware of all foreign telecom companies like nokia siemens alcatel lucent ericsson and huawei of china in order to help it develop protocols to check them for any security breach,telecom,108,115
0,whether the ministry proposes to reconsider the existing policy of levying excise and sales tax on major minerals by the central government and imposition of surcharges on them by the state governments which results in doubling the tax liability for mining companies,minerals,105,113
1,whether it is a fact that 2 1 lakh vacancies are there in railways,railways,58,66
0,the number of defence aircraft helicopter crash during the last four years,last,59,63
0,whether government has estimated per capita income and gross domestic product in the country during each of the last three years and the current year if so the details thereof state wise,last,112,116
1,whether government has received a report on serving of contaminated expired food and unauthorized brands of water bottles etc within the railway areas of the country,railway,137,144
2,the amount earmarked for scheduled caste special plan and tribal sub plan to the ministry for the past three years,three,103,108
0,whether it has come to the notice of government that corrupt custom officials posted at the airports are working hand in glove with smugglers,airports,92,100
0,whether government is aware that water level in many areas of marathwada and bundelkhand have gone down up to the level of 500 feet thus extraction of water has become very difficult,water,33,38
1,the details of proposals received from the government of odisha for food processing industries over the last five years,last,104,108
2,whether the proposed expansions of certain national highways and construction of proposed new highways will pass through vital tiger and elephant habitats especially jaipur alwar highway in sariska nh 7 in kanha pench corridor nh 6 in nagzira navegaon melghat landscape nh 69 through ratapani tiger reserve proposed vijayawada ranchi highway through tiger and elephant habitats in odisha,highways,52,60
1,the existing demand for power in megawatt in the country,power,24,29
2,whether it is a fact that government has decided for reduction of toll on highways for giving relief to the motorists using such highways,highways,74,82
2,whether trainee pilots using government resources and scholarship from flying schools under government or supported by government are free to join private airlines after training,pilots,16,22
0,whether government is planning to revive the sick textile units in the country and make them operational by next three years,three,113,118
2,whether to increase production of pulses government has earmarked rs 1100 crore in 2016 17 towards its share of a total of rs 1700 crore allocated under the national food security mission nfsm scheme,pulses,34,40
1,the outcome of the meeting held by the central government with chief secretaries and secretaries in charge of power ministries of himachal pradesh and uttarakhand in delhi in the year 2012 regarding projects related to both states and names of hydro power projects which were sanctioned by the central government,power,110,115
2,whether fci has decided to follow an online system equipped with detailed information about farmers getting minimum support price msp for rice,rice,138,142
1,whether bilaspur manali leh 497 rail link is proposed to be built at an estimated cost of rs 22 500 crores,rail,32,36
2,the quantum of natural gas imported by government during the years 2014 15 and 2015 16 year wise,years,61,66
2,a whether it is a fact that in order to check high volatility in local currency value central banks world over intervene in markets through buying or selling of foreign currencies,banks,94,99
2,the percentage of households in rural areas which are lacking facilities of safe and potable water in the country state wise,potable,85,92
1,whether the state governments have requested the central government for assistance financial or otherwise for development of forests in their states during the current year,year,168,172
2,whether public investment in agricultural sector has increased during the last two decades of liberalization,last,74,78
0,whether in view of the recent unprovoked firing in jammu sector the bsf and pakistani rangers have now agreed to prevent future cross border firing along the international border,firing,41,47
1,whether it is a fact that railways declares some stations as model stations,railways,26,34
2,whether northern railway has set up executive lounges at new delhi railway station providing value added services to passengers if so the complete details thereof,railway,17,24
1,whether some railway stations of the country have been declared as adarsh railway stations,railway,13,20
2,whether government is aware that almost all railway stations in orissa are lacking vital infrastructural facilities,railway,44,51
1,whether government has taken steps for tellapur patancheru railway track route under multi modal transit system ii mmts ii phase in telangana,railway,59,66
1,what action has been taken by the ministry to submit a proposal under national conservation of river plan to ministry of environment and forests for daman ganga river of daman which is under administrative control of central government,river,95,100
1,whether railways propose to set up wind mill power plants in various parts of the country,power,45,50
0,the present status of fiscal deficit in the country over the last three years,last,61,65
1,whether it is a fact that government has resolved to cover all villages of the country having a population upto five hundred under the pradhan mantri gram sadak yojana pmgsy b if so the details thereof,yojana,161,167
0,whether it is a fact that there have been lots of problems faced by the cell phone users and service providers due to sealing of mobile towers,phone,77,82
2,whether government has undertaken any survey or review of the loss of study hours and impact on general academic level due to non educational political activities of a certain group of students in universities like jawaharlal nehru university jnu,academic,104,112
1,the details of construction of double track railway line between new jalpaiguri and mughal sarai,railway,44,51
2,the details of lpg connections provided under pradhan mantri ujjwala yojana pmuy in the country along with the target set under the said scheme and the eligibility criteria for the beneficiaries,ujjwala,61,68
1,the average speed of trains in the country,trains,21,27
0,the number of complaints received by the ministry regarding arbitrary marking of cases to government counsels in the delhi high court and the central administrative tribunal cat during the last years,last,189,193
0,whether it is a fact that a number of travel agents had duped air india of croresof rupees during the last two years,last,102,106
0,whether government is aware of the complaints by the naxalites about the raping and killing of tribals of goomiyapal gomapad palodi and singaram villages by the koya commandos,naxalites,53,62
1,the details of expenditure incurred on various health programmes being run at the national level by the government and achievements made thereof during the last three years,last,156,160
2,whether adequate grid connectivity is being provided to the power being generated by renewable energy sources in the country,power,60,65
2,the detailed status of the proposed six lanning of nh 58 from delhi ghaziabad meerut muzaffarnagar haridwar via modinagar,nh,51,53
1,the number of airports undergoing renovation presently across the country,airports,14,22
1,the number of institutes of driving training and research itdr across thecountry state wise,institutes,14,24
1,the total amount allocated till date for tourism infrastructure development by the ministry during the twelfth five year plan and the amount utilized out of it,five,111,115
1,the details of fully and partiallycovered areas of the country with regard toavailability of potable water and the areaswhere the quality has been affected state union territory wise,water,101,106
1,the list of a<u+0080><u+0098>a 1a and a<u+0080><u+0098>aa category railway stations in the country state wise,railway,67,74
0,whether it is a fact that the number of child rape cases rose from 5484 in 2009 to 13766 in 2014 according to national crime records bureau which reflect the stark failure on the part of law enforcement agencies to tackle the crime if so the details thereof,child,40,45
1,whether government has assessed the availability of edible salt for the consumption in the country,edible,52,58
1,the names of the airlines operating flights from various places of the country to dharamshala and kullu in himachal pradesh,airlines,17,25
1,whether the ground water level is dipping day by day,water,19,24
0,the details of major boat mishaps in assam during last three years and total people killed in such mishap,last,50,54
0,the problems of india related to afghanistan china and pakistan that were discussed or mentioned during the visit of american president,afghanistan,33,44
1,the details of each of the routes on which air india is operating internationally during the last three years year wise and country wise,last,93,97
0,whether it is a fact that several states are lagging behind in increasing capacity of power generation year by year,power,86,91
2,whether air india has increased the airfares on its flights to middle east countries recently,air,8,11
2,the matters on which discussions have been held recently with germany to get its cooperations in energy sector,germany,62,69
1,a : the details of export and import of coal during the last three years and the current year country wise quantity wise and year wise including the price of the exported imported coal,last,56,60
1,the total annual allocation for the scheme <u+0080><u+0098>shelter and sanitation for foothpath dwellers over the past three years,three,119,124
1,whether it is a fact that toilets of all kinds of trains are found utterly soiled,trains,50,56
0,a : whether it is a fact that the production of coal has suffered in some naxal affected states,coal,48,52
